Date,Approve,Disapprove,No_answer,Putin_Index
1999-08-01,31,33,37,-2
1999-09-01,53,27,20,26
1999-10-01,65,20,15,45
1999-11-01,80,12,8,68
1999-12-01,79,13,8,66
2000-01-01,84,10,7,74
2000-02-01,75,17,8,58
2000-03-01,70,21,9,49
2000-04-01,77,15,8,62
2000-05-01,72,17,11,55
2000-06-01,61,26,13,35
2000-07-01,72,17,10,55
2000-08-01,65,26,10,39
2000-09-01,65,27,8,38
2000-10-01,64,26,11,38
2000-11-01,70,22,8,48
2000-12-01,68,23,10,45
2001-01-01,76,18,6,58
2001-02-01,69,21,10,48
2001-03-01,75,19,6,56
2001-04-01,70,25,6,45
2001-05-01,71,22,8,49
2001-06-01,72,22,6,50
2001-07-01,72,22,7,50
2001-08-01,74,19,7,55
2001-09-01,73,21,7,52
2001-10-01,75,19,6,56
2001-11-01,80,18,2,62
2001-12-01,73,19,9,54
2002-01-01,75,19,6,56
2002-02-01,75,20,5,55
2002-03-01,72,24,5,48
2002-04-01,71,22,8,49
2002-05-01,75,20,5,55
2002-06-01,75,20,4,55
2002-07-01,73,20,7,53
2002-08-01,76,20,5,56
2002-09-01,77,20,3,57
2002-10-01,77,19,4,58
2002-11-01,83,15,2,68
2002-12-01,82,16,2,66
2003-01-01,75,22,3,53
2003-02-01,76,22,2,54
2003-03-01,75,21,4,54
2003-04-01,73,24,3,49
2003-05-01,70,27,3,43
2003-06-01,77,22,2,55
2003-07-01,78,19,2,59
2003-08-01,74,23,3,51
2003-09-01,75,22,3,53
2003-10-01,73,24,3,49
2003-11-01,81,18,1,63
2003-12-01,86,13,1,73
2004-01-01,79,20,2,59
2004-02-01,82,17,1,65
2004-03-01,81,16,3,65
2004-04-01,79,19,2,60
2004-05-01,76,21,2,55
2004-06-01,72,25,3,47
2004-07-01,72,25,2,47
2004-08-01,68,30,3,38
2004-09-01,72,26,2,46
2004-10-01,72,26,2,46
2004-11-01,69,29,2,40
2004-12-01,69,28,2,41
2005-01-01,65,32,3,33
2005-02-01,66,32,3,34
2005-03-01,66,26,9,40
2005-04-01,66,31,3,35
2005-05-01,69,29,2,40
2005-06-01,66,32,2,34
2005-07-01,67,31,2,36
2005-08-01,70,27,3,43
2005-09-01,70,28,2,42
2005-10-01,71,26,3,45
2005-11-01,76,23,1,53
2005-12-01,73,25,2,48
2006-01-01,71,27,2,44
2006-02-01,75,23,2,52
2006-03-01,72,26,2,46
2006-04-01,72,26,1,46
2006-05-01,76,23,1,53
2006-06-01,77,21,2,56
2006-07-01,79,19,2,60
2006-08-01,78,21,1,57
2006-09-01,75,22,3,53
2006-10-01,77,22,1,55
2006-11-01,81,18,2,63
2006-12-01,78,21,1,57
2007-01-01,80,19,1,61
2007-02-01,81,18,1,63
2007-03-01,81,18,1,63
2007-04-01,79,19,1,60
2007-05-01,80,18,2,62
2007-06-01,81,18,1,63
2007-07-01,85,14,1,71
2007-08-01,82,16,1,66
2007-09-01,79,20,1,59
2007-10-01,82,16,2,66
2007-11-01,84,15,1,69
2007-12-01,87,12,1,75
2008-01-01,86,13,1,73
2008-02-01,85,13,2,72
2008-03-01,85,13,2,72
2008-04-01,86,12,1,74
2008-05-01,80,15,5,65
2008-06-01,83,13,5,70
2008-07-01,80,17,3,63
2008-08-01,83,15,2,68
2008-09-01,88,10,2,78
2008-10-01,83,14,4,69
2008-11-01,86,12,2,74
2008-12-01,83,15,2,68
2009-01-01,83,14,3,69
2009-02-01,78,20,2,58
2009-03-01,78,20,2,58
2009-04-01,76,21,3,55
2009-05-01,78,18,4,60
2009-06-01,79,19,2,60
2009-07-01,78,19,3,59
2009-08-01,82,16,2,66
2009-09-01,81,18,1,63
2009-10-01,78,20,2,58
2009-11-01,79,19,3,60
2009-12-01,83,15,2,68
2010-01-01,78,21,2,57
2010-02-01,80,19,1,61
2010-03-01,78,20,2,58
2010-04-01,78,20,2,58
2010-05-01,80,19,1,61
